,field,full_field_name
0,Parcel,Parcel
1,owner,owner
2,descrption,description
3,bldblRel,buildable-relative
4,bldblAcr,buildable-acre
5,LotSize,size
6,ownerAddr,ownerAddr
7,mailAddr,mailAddr
8,acrgAdjcnt,acreage_adjacent_with_sameowner
9,acrgClc,acreage_calc
10,acrgDdd,acreage_deeded
11,cnssZp,census_zip
12,CountyID,cid
13,cnsrvtnEsm,conservation_easements_layer
14,cnsrvtnEs0,conservation_easements_layer-acre
15,cntyNm,county_name
16,crtclHbttJ,critical_habitat_joint
17,crtclHbtt0,critical_habitat_joint-acre
18,elvtn,elevation
19,fldHgh,flood-high
20,fldLw,flood-low
21,fld02,flood_02
22,fld02Acr,flood_02-acre
23,fld1,flood_1
24,fld1Acr,flood_1-acre
25,LandUseCde,land-use-code
26,LandUseNm,land-use-name
27,lstUpdtd,last_updated
28,lglDsc1,legal_desc1
29,mnmdArprt,manmade_airport
30,mnmdArprtA,manmade_airport-acre
31,mnmdBldng,manmade_building
32,mnmdBldngA,manmade_building-acre
33,mnmdOlAndN,manmade_oil_and_natural_gas
34,mnmdOlAnd0,manmade_oil_and_natural_gas-acre
35,mnmdRl,manmade_rail
36,mnmdRd,manmade_road
37,mnmdRdAcr,manmade_road-acre
38,mnmdTrnsms,manmade_transmission
39,mnmdTrnsm0,manmade_transmission-acre
40,mktVlBldg,mkt_val_bldg
41,mktVlLnd,mkt_val_land
42,mnId,muni_id
43,mnNm,muni_name
44,ownrOccpd,owner_occupied
45,pdUs,pad_us
46,pdUsAcr,pad_us-acre
47,pn,pin
48,rsId,rausa_id
49,rbstId,robust_id
50,schlDstId,school_dist_id
51,slp,slope
52,slpAcr,slope-acre
53,uspsRsdntl,usps_residential
54,wtlnds,wetlands
55,wtlndsAcr,wetlands-acre
56,geometry,geometry
57,bldblSmAcr,buildable-small-acre
58,bldblSmRel,buildable-small-relative
59,nghCd,ngh_code
60,slPrc,sale_price
61,altId1,alt_id_1
62,mktVlTt,mkt_val_tot
63,sctnTwnshp,section_township_range
64,trnsDt,trans_date
65,bldgSqft,bldg_sqft
